Date,z1_AC1(kW),z1_Light(kW),z1_Plug(kW),z1_S1(degC),z1_S1(RH%),z1_S1(lux),z2_AC1(kW),z2_Light(kW),z2_Plug(kW),z2_S1(degC),z2_S1(RH%),z2_S1(lux),z3_Light(kW),z3_Plug(kW),z4_AC1(kW),z4_AC2(kW),z4_AC3(kW),z4_AC4(kW),z4_Light(kW),z4_Plug(kW),z4_S1(degC),z4_S1(RH%),z4_S1(lux),z5_AC1(kW),z5_Light(kW),z5_Plug(kW),z5_S1(degC),z5_S1(RH%),z5_S1(lux),z1_Total(kW),z2_Total(kW),z3_Total(kW),z4_Total(kW),z5_Total(kW),Floor_Total(kW),Floor_Mean_Temp,Floor_Mean_Lux
2019-01-02 20:00:00,0.0,0.06916666666666667,0.24500000000000002,19.85,72.43,1.0,0.0,1.4013333333333333,0.08916666666666667,19.96,70.75,1.0,0.625,0.28,0.0,0.0,0.0,0.0,1.6183333333333334,0.115,19.73,72.44,1.0,0.0,1.108,0.11183333333333333,19.93,72.36,0.0,0.3141666666666667,1.4905,0.905,1.7333333333333334,1.2198333333333335,5.662833333333334,22.162499999999998,51.75
2019-01-02 21:00:00,0.0,0.0,0.24250000000000002,19.85,72.43,1.0,0.0,0.10516666666666666,0.07233333333333333,19.96,70.75,1.0,0.6203333333333333,0.28,0.0,0.0,0.0,0.0,1.6138333333333332,0.11566666666666665,19.73,72.44,1.0,0.0,1.1058333333333334,0.043333333333333335,19.93,72.36,0.0,0.24250000000000002,0.17750000000000002,0.9003333333333334,1.7295000000000003,1.1491666666666667,4.199,22.162499999999998,51.75
2019-01-02 22:00:00,0.0,0.0,0.22400000000000003,19.85,72.43,1.0,0.0,0.01,0.083,19.96,70.75,1.0,0.571,0.28,0.0,0.0,0.0,0.0,1.6321666666666665,0.1195,19.73,72.44,1.0,0.0,1.1178333333333335,0.04716666666666667,19.93,72.36,0.0,0.22400000000000003,0.093,0.8510000000000001,1.7516666666666665,1.165,4.084666666666666,22.162499999999998,51.75
2019-01-02 23:00:00,0.0,0.0,0.21050000000000002,19.85,72.43,1.0,0.0,0.01,0.10416666666666667,19.96,70.75,1.0,0.5770000000000001,0.2823333333333334,0.0,0.0,0.0,0.0,1.6050000000000002,0.1145,19.73,72.44,1.0,0.0,1.0993333333333335,0.04633333333333333,19.93,72.36,0.0,0.21050000000000002,0.11416666666666668,0.8593333333333334,1.7195,1.1456666666666668,4.049166666666666,22.162499999999998,51.75
2019-01-03 00:00:00,0.0,0.0,0.1925,19.85,72.43,1.0,0.0,0.01,0.08383333333333334,19.96,70.75,1.0,0.10983333333333332,0.2778333333333334,0.0,0.0,0.0,0.0,0.1595,0.11166666666666666,19.73,72.44,1.0,0.0,0.10883333333333334,0.04616666666666667,19.93,72.36,0.0,0.1925,0.09383333333333334,0.3876666666666667,0.27116666666666667,0.155,1.1001666666666667,22.162499999999998,51.75
2019-01-03 01:00:00,0.0,0.0,0.1725,19.85,72.43,1.0,0.0,0.01,0.06916666666666667,19.96,70.75,1.0,0.06866666666666667,0.281,0.0,0.0,0.0,0.0,0.0,0.10883333333333334,19.73,72.44,1.0,0.0,0.0,0.046,19.93,72.36,0.0,0.1725,0.07916666666666666,0.3496666666666667,0.10883333333333334,0.046,0.7561666666666668,22.162499999999998,51.75
2019-01-03 02:00:00,0.0,0.0,0.21066666666666667,19.85,72.43,1.0,0.0,0.01,0.1375,19.96,70.75,1.0,0.06483333333333334,0.28,0.0,0.0,0.0,0.0,0.0,0.1095,19.73,72.44,1.0,0.0,0.0,0.0465,19.93,72.36,0.0,0.21066666666666667,0.14750000000000002,0.3448333333333334,0.1095,0.0465,0.8590000000000001,22.162499999999998,51.75
2019-01-03 03:00:00,0.0,0.0,0.18416666666666667,19.85,72.43,1.0,0.0,0.01,0.15433333333333332,19.96,70.75,1.0,0.06783333333333334,0.28,0.0,0.0,0.0,0.0,0.0,0.11083333333333334,19.73,72.44,1.0,0.0,0.0,0.0455,19.93,72.36,0.0,0.18416666666666667,0.16433333333333336,0.3478333333333333,0.11083333333333334,0.0455,0.8526666666666667,22.162499999999998,51.75
2019-01-03 04:00:00,0.0,0.0,0.17099999999999999,19.85,72.43,1.0,0.0,0.01,0.13266666666666668,19.96,70.75,1.0,0.06433333333333333,0.28,0.0,0.0,0.0,0.0,0.0,0.10916666666666666,19.73,72.44,1.0,0.0,0.0,0.04516666666666667,19.93,72.36,0.0,0.17099999999999999,0.14266666666666666,0.3443333333333334,0.10916666666666666,0.04516666666666667,0.8123333333333334,22.162499999999998,51.75
2019-01-03 05:00:00,0.0,0.0,0.218,19.85,72.43,1.0,0.0,0.511,0.155,19.96,70.75,1.0,0.8346666666666667,0.28016666666666673,0.0,0.0,0.0,0.0,0.0,0.1105,19.73,72.44,1.0,0.0,0.0,0.0445,19.93,72.36,0.0,0.218,0.666,1.1148333333333333,0.1105,0.0445,2.1538333333333335,22.162499999999998,51.75
